iter	RMSE
0	0.1347749083
1	0.1300971928
2	0.1262229639
3	0.1228623729
4	0.1199663251
5	0.1173947416
6	0.1153131376
7	0.1135306956
8	0.1120592978
9	0.1107488986
10	0.1096842713
11	0.1087035885
12	0.1078568717
13	0.1070818978
14	0.1064815668
15	0.1059350841
16	0.1054357615
17	0.1050126711
18	0.1046220917
19	0.1042918169
20	0.1039865002
21	0.1037491104
22	0.1035413254
23	0.1033101428
24	0.1031028288
25	0.1029086095
26	0.1027590504
27	0.1026068875
28	0.1024615026
29	0.1023350595
30	0.102236235
31	0.1021447678
32	0.1020454742
33	0.1019271225
34	0.1018318581
35	0.1017539204
36	0.101682607
37	0.1016047832
38	0.1015301988
39	0.1014636228
40	0.101375398
41	0.1013089297
42	0.101231537
43	0.101149382
44	0.1010939121
45	0.1010383041
46	0.1009653703
47	0.1008999566
48	0.1008490625
49	0.1007918557
50	0.100731351
51	0.1006953539
52	0.100644173
53	0.100584588
54	0.1005417291
55	0.1004854282
56	0.1004297316
57	0.1003948321
58	0.1003399671
59	0.1003039954
60	0.1002646455
61	0.1002042133
62	0.1001698366
63	0.1001218667
64	0.1000806275
65	0.1000482254
66	0.1000192056
67	0.09995897743
68	0.09992269897
69	0.09985860493
70	0.09979983769
71	0.09977205538
72	0.09973496919
73	0.09970512648
74	0.09966732246
75	0.09964450878
76	0.09959830336
77	0.09956194585
78	0.09951393727
79	0.09947631982
80	0.09944015445
81	0.09941211393
82	0.09935861679
83	0.09933675856
84	0.09930129663
85	0.09921915573
86	0.09919748415
87	0.09914557546
88	0.09912293952
89	0.0990897806
90	0.09905655876
91	0.09902061688
92	0.09898622848
93	0.09894944481
94	0.09888326756
95	0.09884596434
96	0.09880530862
97	0.09876268294
98	0.09872060892
99	0.09868039163
100	0.09865464308
101	0.09859399848
102	0.09856578175
103	0.09851557699
104	0.09846918337
105	0.09843546311
106	0.09841521268
107	0.09837771889
108	0.09833505663
109	0.09830149711
110	0.0982607112
111	0.09823567625
112	0.09820013717
113	0.09816127916
114	0.09811854981
115	0.09808479395
116	0.09805500673
117	0.09801907099
118	0.09798961985
119	0.09796635206
120	0.09791533875
121	0.09786418848
122	0.09784953503
123	0.0978146773
124	0.09778943694
125	0.09775031878
126	0.09773140617
127	0.09769073843
128	0.09766003412
129	0.09761413927
130	0.09759769902
131	0.09757245944
132	0.09755262955
133	0.09749329061
134	0.09747178041
135	0.09740665478
136	0.09737567192
137	0.09733155596
138	0.09731803816
